Date : 2022-01-11 13:42:23
Directory : /Users/chautuananh/Desktop/Coding_projects/Personal_project/stockapp
Total : 68 files,  29600 codes, 188 comments, 261 blanks, all 30049 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          7 |     27,549 |          0 |          3 |     27,552 |
| JavaScript |         38 |      1,359 |         17 |        117 |      1,493 |
| XML        |          9 |        201 |          3 |         14 |        218 |
| Java       |          3 |        128 |         25 |         19 |        172 |
| Groovy     |          3 |        127 |        120 |         28 |        275 |
| MATLAB     |          3 |        110 |          0 |         29 |        139 |
| Batch      |          1 |         68 |          0 |         22 |         90 |
| Ini        |          1 |         45 |          4 |         17 |         66 |
| Properties |          2 |          8 |         19 |          8 |         35 |
| C++        |          1 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |         68 |     29,600 |        188 |        261 |     30,049 |
| __tests__                                                                                                                                             |          1 |          7 |          4 |          4 |         15 |
| android                                                                                                                                               |         13 |        372 |        166 |         86 |        624 |
| android/app                                                                                                                                           |          8 |        259 |        142 |         51 |        452 |
| android/app/src                                                                                                                                       |          7 |        169 |         27 |         28 |        224 |
| android/app/src/debug                                                                                                                                 |          2 |         70 |          8 |          9 |         87 |
| android/app/src/debug/java                                                                                                                            |          1 |         59 |          8 |          6 |         73 |
| android/app/src/debug/java/com                                                                                                                        |          1 |         59 |          8 |          6 |         73 |
| android/app/src/debug/java/com/stockapp                                                                                                               |          1 |         59 |          8 |          6 |         73 |
| android/app/src/main                                                                                                                                  |          5 |         99 |         19 |         19 |        137 |
| android/app/src/main/java                                                                                                                             |          2 |         69 |         17 |         13 |         99 |
